ID,Black Area,Orange Area,TOTAL,ORANGE:BLACK RATIO
C45_T59_V_6914,79.26,34.947,114.207,0.440915973
C47_T59_V_6934,79.566,32.127,111.693,0.403777996
,,30.057,,
,,2.07,,
C49_T59_V_6959,78.165,27.966,106.131,0.357781616
C51_T53_V_6979,88.214,19.757,107.971,0.223966717
,,16.62,,
,,3.137,,
C52_T53_V_6982,92.811,20.92,113.731,0.225404316
C14_T11_V_6655,97.964,21.829,119.793,0.222826753
,,4.57,,
,,17.259,,
C15_T11_V_6658,93.755,27.623,121.378,0.29462962
C17_T11_V_6662,87.672,20.66,108.332,0.235651063
C22_T11_V_6679,81.494,23.48,104.974,0.288119371
C23_T11_V_6681,95.227,28.125,123.352,0.295346908
