ID,Black Area,Orange Area,TOTAL,ORANGE:BLACK RATIO,
Y28_T11_V_6704,102.658,24.503,127.161,0.238685733,
,,2.781,,,
,,21.722,,,
Y33_T53_V_6804,90.79,24.038,114.828,0.264764842,
,,0.454,,,
,,0.298,,,
,,23.286,,,
Y35_T53_V_6823,89.025,9.267,98.292,0.104094356,
Y36_T59_V_6838,84.595,20.722,105.317,0.244955376,
,,19.02,,,
,,1.702,,,
Y37_T59_V_6841,87.132,19.298,106.43,0.221480053,
,,4.759,,,
,,14.539,,,
Y42_T59_V_6888,96.418,29.539,125.957,0.306363957,
,,25.074,,,
,,3.464,,,
,,1.001,,,
Y48_T53_V_6948,130.934,23.961,154.895,0.183000596,distended stomach
Y34_T59_V_6816,108.456,17.736,126.192,0.163531755,
,,11.819,,,
,,5.917,,,
Y18_T11_V_6665,94.593,19.078,113.671,0.201685114,
,,18.672,,,
,,0.406,,,
Y19_T11_V_6668,112.1751,14.1229,126.298,0.12590049,
,,0.521,,,
,,0.305,,,
,,0.25,,,
,,0.4579,,,
,,1.188,,,
,,11.401,,,
